number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_epochs,params_feature_set,params_learning_rate,params_n_hidden_layers,params_units_per_layer,params_use_dropout,state
70,0.06311512738466263,2025-02-27 03:02:28.000946,2025-02-27 03:03:30.395651,0 days 00:01:02.394705,tanh,1024.0,0.5,40.0,,0.0005531837910461271,4.0,128.0,True,PRUNED
71,0.3218647837638855,2025-02-27 03:03:30.400403,2025-02-27 03:03:44.768771,0 days 00:00:14.368368,softplus,128.0,0.2,50.0,,0.0006552171578157929,3.0,208.0,True,PRUNED
72,0.04120098799467087,2025-02-27 03:03:44.773027,2025-02-27 03:07:49.006038,0 days 00:04:04.233011,tanh,512.0,0.30000000000000004,20.0,,0.0006839170149223314,5.0,192.0,True,COMPLETE
73,0.1599799543619156,2025-02-27 03:07:49.014696,2025-02-27 03:08:11.596791,0 days 00:00:22.582095,tanh,512.0,0.30000000000000004,20.0,,0.0005684119741475545,5.0,288.0,True,PRUNED
74,0.05299084261059761,2025-02-27 03:08:11.601046,2025-02-27 03:10:16.891527,0 days 00:02:05.290481,tanh,512.0,0.4,10.0,,0.0008030639154287329,5.0,144.0,True,COMPLETE
75,0.04771693795919418,2025-02-27 03:10:16.899768,2025-02-27 03:14:25.067469,0 days 00:04:08.167701,tanh,512.0,0.30000000000000004,30.0,,0.0009539182073555774,5.0,176.0,True,PRUNED
76,1.4475864171981812,2025-02-27 03:14:25.072018,2025-02-27 03:14:32.062776,0 days 00:00:06.990758,gelu,512.0,0.2,40.0,,0.0007232601236351348,5.0,96.0,True,PRUNED
77,0.044323623180389404,2025-02-27 03:14:32.067180,2025-02-27 03:20:22.443675,0 days 00:05:50.376495,tanh,256.0,,70.0,,0.0008623796866337155,4.0,224.0,False,PRUNED
78,0.3862327039241791,2025-02-27 03:20:22.448150,2025-02-27 03:20:39.151112,0 days 00:00:16.702962,softplus,128.0,0.1,60.0,,0.0012166581990506312,5.0,192.0,True,PRUNED
79,0.049525655806064606,2025-02-27 03:20:39.155756,2025-02-27 03:23:42.468089,0 days 00:03:03.312333,tanh,1024.0,0.4,50.0,,0.0006621154855251472,5.0,80.0,True,PRUNED
80,0.0621468685567379,2025-02-27 03:23:42.472722,2025-02-27 03:25:11.412314,0 days 00:01:28.939592,tanh,512.0,,80.0,,0.00105327657622159,3.0,144.0,False,PRUNED
81,4.0854034423828125,2025-02-27 03:25:11.417122,2025-02-27 03:25:28.728670,0 days 00:00:17.311548,softplus,128.0,0.30000000000000004,30.0,,0.0005764072108603098,4.0,352.0,True,PRUNED
