iter	Passed	Remaining
983	33599	546
984	33634	512
985	33676	478
986	33710	444
987	33743	409
988	33755	375
989	33784	341
990	33824	307
991	33879	273
992	33898	238
993	33916	204
994	33960	170
995	33977	136
996	34027	102
997	34062	68
998	34084	34
999	34096	0
